更新时间,#genre#
CCTV-12社会与法,http://101.23.216.69:8090/hls/20/index.m3u8$订阅源
CCTV-12社会与法,http://223.241.247.214:9901/tsfile/live/0012_1.m3u8$订阅源
CCTV-13新闻,http://116.128.242.83:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-13新闻,http://220.249.114.102:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-13新闻,http://139.196.151.191:6846/rtp/239.45.1.198:5140$组播源
CCTV-13新闻,http://123.56.129.203:4310/rtp/225.1.1.10:8128$组播源
CCTV-13新闻,http://124.128.73.58:9901/tsfile/live/0013_1.m3u8$订阅源
CCTV-13新闻,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/5000000011000031108/index.m3u8?channel-id=bestzb&Contentid=5000000011000031108&livemode=1&stbId=no$订阅源
CCTV-14少儿,http://42.48.50.232:9002/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源|1920x1080
CCTV-14少儿,http://220.249.114.102:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-14少儿,http://123.56.129.203:4310/rtp/225.1.8.114:8236$组播源
CCTV-14少儿,http://123.56.129.203:2604/rtp/225.1.8.14:8132$组播源
CCTV-14少儿,http://39.134.136.161:6610/000000001000/5000000010000030810/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000010000030810$订阅源|1920x1080
CCTV-14少儿,http://123.138.22.30:9901/tsfile/live/0014_1.m3u8$订阅源
CCTV-15音乐,http://42.48.50.232:9002/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源|1920x1080
CCTV-15音乐,http://183.94.146.109:2222/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-15音乐,http://139.196.151.191:2051/rtp/239.45.1.200:5140$组播源
CCTV-15音乐,http://123.56.129.203:4310/rtp/225.1.8.115:8052$组播源
CCTV-15音乐,http://101.23.216.69:8090/hls/23/index.m3u8$订阅源
CCTV-15音乐,http://116.117.104.39:8096/tsfile/live/0014_2.m3u8$订阅源
CCTV-16奥林匹克,http://60.164.128.167:8029/rtp/239.255.30.88:8231$组播源|1920x1080
CCTV-16奥林匹克,http://122.9.151.210:8088/rtp/238.255.2.219:5999$组播源
CCTV-16奥林匹克,http://majian.ixiaobai.net:5540/udp/239.37.1.22:5540?$订阅源|3840x2160
CCTV-16奥林匹克,http://gmxw.7766.org:808/hls/169/index.m3u8$订阅源
